Generation N Sum GN.F GN.M PN2.F PN2.M Program Trait value Population h2 rep
40 9000 4.98786865077366 9.93102040151306 -4.94002804166275 -0.00221979754861847 -0.000903911528034025 PN2 T2 Ebv PN2 0.25 0
41 9000 5.44801948042794 10.2869425585402 -4.8359759436604 -0.00242560539774562 -0.000521529054123654 PN2 T2 Ebv PN2 0.25 0
20 4500 0.040042769807179 0 0 -0.00261755870045109 0.0426603285076301 PN2 T2 Tbv PN2 0.25 0
22 9000 0.404614570010265 0.103823385058239 0.145279166734695 0.0249369068150367 0.130575111402294 PN2 T2 Tbv PN2 0.25 0
23 9000 0.892627504186308 0.204433742094221 0.348283874728436 0.0522629208284456 0.287646966535205 PN2 T2 Tbv PN2 0.25 0
24 9000 1.41934828495188 0.365553474624048 0.744594436513111 0.072015740818067 0.237184632996658 PN2 T2 Tbv PN2 0.25 0
25 9000 1.85017440398507 0.445072815173396 1.20610828847826 0.0865573668343501 0.112435933499063 PN2 T2 Tbv PN2 0.25 0
26 9000 2.10415361446812 0.552741051624935 1.43053960190653 0.0315277732841156 0.0893451876525441 PN2 T2 Tbv PN2 0.25 0
27 9000 2.67701373002955 0.750275670299203 1.70758996707727 0.115544453617433 0.103603639035638 PN2 T2 Tbv PN2 0.25 0
28 9000 2.94235601263522 0.982517649076359 1.89005060599129 0.0195330789071608 0.0502546786604063 PN2 T2 Tbv PN2 0.25 0
29 9000 3.18117619124795 1.18360505138045 2.060713851027 -0.0689176221950852 0.00577491103558673 PN2 T2 Tbv PN2 0.25 0
30 9000 3.52432937597174 1.39959952118208 2.19670228463769 -0.0524246330161083 -0.0195477968319264 PN2 T2 Tbv PN2 0.25 0
31 9000 3.88061283924429 1.60106144732448 2.37614266190489 -0.0902246483812352 -0.00636662160385421 PN2 T2 Tbv PN2 0.25 0
32 9000 4.29740089214745 1.67541439717622 2.6619795403609 -0.0114943257799302 -0.0284987196097345 PN2 T2 Tbv PN2 0.25 0
33 9000 4.8329979235563 1.97901107092738 2.90820574216224 -0.0329553917191212 -0.021263497814199 PN2 T2 Tbv PN2 0.25 0
34 9000 5.36451979324423 2.31328633197826 3.09777032032179 -0.0448741693267212 -0.00166268972909629 PN2 T2 Tbv PN2 0.25 0
35 9000 5.63509693638354 2.55727593279299 3.18752021043596 -0.0535255353574497 -0.0561736714879634 PN2 T2 Tbv PN2 0.25 0
36 9000 5.98739652527538 2.77910973350446 3.27253208707069 -0.0389425003887415 -0.0253027949110275 PN2 T2 Tbv PN2 0.25 0
37 9000 6.32256637886253 3.09138812428537 3.27827265354194 -0.0161008233377798 -0.0309935756270059 PN2 T2 Tbv PN2 0.25 0
38 9000 6.92539922649102 3.36955265255265 3.52882615437711 0.05263538308774 -0.0256149635264778 PN2 T2 Tbv PN2 0.25 0
39 9000 7.50031308394982 3.728053146178 3.74586156500294 0.022806864861456 0.00359150790743065 PN2 T2 Tbv PN2 0.25 0
40 9000 7.86034819074789 3.96896119873271 3.85078578012484 0.0172666095565243 0.0233346023338219 PN2 T2 Tbv PN2 0.25 0
41 9000 8.10547131956471 4.12672184973789 4.00594780843225 -0.00582199184735676 -0.0213763467580707 PN2 T2 Tbv PN2 0.25 0
20 1500 0.212364163196065 0.273418317682105 -0.0610541544860398 0 0 PN2 I Ebv GN2 0.25 0
21 6000 -1.01041731900708 0.402247949926104 -1.41266526893318 0 0 PN2 I Ebv GN2 0.25 0
22 6000 -0.489962417681066 1.17299185293221 -1.66295427061328 0 0 PN2 I Ebv GN2 0.25 0
23 6000 0.197909601187411 1.84813535653919 -1.65022575535178 0 0 PN2 I Ebv GN2 0.25 0
24 6000 0.792614506959929 2.62453515544089 -1.83192064848096 0 0 PN2 I Ebv GN2 0.25 0
25 6000 1.26288815474278 3.2601251614577 -1.99723700671492 0 0 PN2 I Ebv GN2 0.25 0
26 6000 1.87116006245289 4.0691263918209 -2.197966329368 0 0 PN2 I Ebv GN2 0.25 0
27 6000 2.33662311643038 4.80264818144593 -2.46602506501555 0 0 PN2 I Ebv GN2 0.25 0
28 6000 2.78540113547817 5.49386915501601 -2.70846801953784 0 0 PN2 I Ebv GN2 0.25 0
29 6000 3.29971717980155 6.09334620205488 -2.79362902225333 0 0 PN2 I Ebv GN2 0.25 0
30 6000 3.76109967196313 6.69273659341021 -2.93163692144707 0 0 PN2 I Ebv GN2 0.25 0
31 6000 4.05503922154628 7.33980685314385 -3.28476763159757 0 0 PN2 I Ebv GN2 0.25 0
32 6000 4.6890536561218 7.98643035291057 -3.29737669678878 0 0 PN2 I Ebv GN2 0.25 0
33 6000 5.12900626090097 8.5274451446157 -3.39843888371473 0 0 PN2 I Ebv GN2 0.25 0
34 6000 5.55791398838424 9.0928541511789 -3.53494016279465 0 0 PN2 I Ebv GN2 0.25 0
35 6000 5.82927374501467 9.71052830683076 -3.88125456181608 0 0 PN2 I Ebv GN2 0.25 0
36 6000 6.23076171458785 10.2287950559843 -3.99803334139649 0 0 PN2 I Ebv GN2 0.25 0
37 6000 6.58779607358111 10.7277767002149 -4.1399806266338 0 0 PN2 I Ebv GN2 0.25 0
38 6000 7.03709366652927 11.0815224204192 -4.04442875388991 0 0 PN2 I Ebv GN2 0.25 0
39 6000 7.3759256129134 11.4359043010244 -4.05997868811101 0 0 PN2 I Ebv GN2 0.25 0
40 6000 7.71188798658517 11.7457728794884 -4.03388489290322 0 0 PN2 I Ebv GN2 0.25 0
20 1500 -0.108049064014005 0.00728370841614818 -0.115332772430154 0 0 PN2 I Tbv GN2 0.25 0
21 6000 0.407235430024768 0.173192450239936 0.234042979784832 0 0 PN2 I Tbv GN2 0.25 0
22 6000 0.97384843788831 0.417333977792739 0.556514460095571 0 0 PN2 I Tbv GN2 0.25 0
23 6000 1.66867800905574 0.675064360996999 0.993613648058746 0 0 PN2 I Tbv GN2 0.25 0
24 6000 2.28232713542676 0.868620176957231 1.41370695846953 0 0 PN2 I Tbv GN2 0.25 0
25 6000 2.74312124399431 1.01376313383125 1.72935811016306 0 0 PN2 I Tbv GN2 0.25 0
26 6000 3.33681446952095 1.31165236612029 2.02516210340067 0 0 PN2 I Tbv GN2 0.25 0
27 6000 3.81389585973454 1.52633133949131 2.28756452024323 0 0 PN2 I Tbv GN2 0.25 0
28 6000 4.23227031599803 1.74141160389105 2.49085871210698 0 0 PN2 I Tbv GN2 0.25 0
29 6000 4.77358297789811 1.91734185912724 2.85624111877087 0 0 PN2 I Tbv GN2 0.25 0
30 6000 5.19075814560067 2.11256413342394 3.07819401217673 0 0 PN2 I Tbv GN2 0.25 0
31 6000 5.52294209909056 2.2298043636413 3.29313773544926 0 0 PN2 I Tbv GN2 0.25 0
32 6000 6.13589600196336 2.46583307841366 3.6700629235497 0 0 PN2 I Tbv GN2 0.25 0
33 6000 6.66693374284382 2.76426844597919 3.90266529686463 0 0 PN2 I Tbv GN2 0.25 0
34 6000 7.00350717072345 2.97964978003707 4.02385739068637 0 0 PN2 I Tbv GN2 0.25 0
35 6000 7.29826017243925 3.16008897144205 4.1381712009972 0 0 PN2 I Tbv GN2 0.25 0
36 6000 7.7062833917521 3.35752895932857 4.34875443242352 0 0 PN2 I Tbv GN2 0.25 0
37 6000 8.03464231556469 3.53769776813844 4.49694454742625 0 0 PN2 I Tbv GN2 0.25 0
38 6000 8.52995087547333 3.77101849278 4.75893238269334 0 0 PN2 I Tbv GN2 0.25 0
39 6000 8.84293882913875 3.95088718824758 4.89205164089117 0 0 PN2 I Tbv GN2 0.25 0
40 6000 9.12992038397149 4.09310903505057 5.03681134892092 0 0 PN2 I Tbv GN2 0.25 0
20 4500 -0.0707880543986884 0 0 -0.0759039582467431 0.00511590384805464 PN2 I Ebv PN2 0.25 0
22 9000 -0.750374620959044 0.205195739921263 -1.218984701193 0.0115720440392163 0.251842296273481 PN2 I Ebv PN2 0.25 0
23 9000 -0.0132427638721411 0.46276232276029 -1.09497315313276 0.225721035425139 0.393247031075194 PN2 I Ebv PN2 0.25 0
24 9000 0.454882016645883 0.809415025241655 -1.21508272005121 0.570530561610826 0.29001914984461 PN2 I Ebv PN2 0.25 0
25 9000 0.85168085911438 1.38982238115777 -1.42175211697523 0.658320523607996 0.225290071323844 PN2 I Ebv PN2 0.25 0
26 9000 1.20479662284941 2.03211691922684 -1.72817281622251 0.670268382684623 0.230584137160463 PN2 I Ebv PN2 0.25 0
27 9000 1.64230233321198 2.70793481736435 -1.99210348402939 0.767755661088844 0.158715338788166 PN2 I Ebv PN2 0.25 0
28 9000 2.09054316714616 3.48863858837815 -2.23017695528219 0.695223398460441 0.136858135589758 PN2 I Ebv PN2 0.25 0
29 9000 2.57755203015046 4.20892920086022 -2.46945377499869 0.776677271716213 0.0613993325727186 PN2 I Ebv PN2 0.25 0
